Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Discordo plenamente,Concordo plenamente,Discordo plenamente,Bom/Boa,Regular,Ruins,Ruim,Ruim,Prefiro não responder,Regulares
Discente do Superior,Poços de Caldas,6°,Licenciatura Geografia,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito ruins,Regular,Regular,Não sei,Boas
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Concordo,Discordo,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Não sei responder,Não concordo nem discordo,Não concordo nem discordo,Regular,Ruim,Regulares,Regular,Regular,Prefiro não responder,Muito boas
Discente do Técnico,Poços de Caldas,2°,Técnico em Eletroeletrônica | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Eletrotécnica | Subsequente,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Técnico,Poços de Caldas,2°,Técnico em Eletrotécnica | Subsequente,Concordo,Concordo,Concordo,Bom/Boa,Boa,Regulares,Ruim,Ruim,Ruim,Regulares
Discente do Técnico,Muzambinho,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Prefiro não responder
Discente do Técnico,Poços de Caldas,2°,Técnico em Eletrotécnica | Subsequente,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Muito bom,Bom,Bom,Regulares
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Ruins,Regular,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,"Não concordo, nem discordo",Concordo,Concordo,Muito Bom/Boa,Muito boa,Regulares,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Ruins,Regular,Regular,Regular,Regulares
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,Não sei responder,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Bom,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Discordo,Discordo plenamente,Bom/Boa,Regular,Bons/Boas,Regular,Bom,Regular,Prefiro não responder
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,Discordo,Discordo,Discordo,Regular,Ruim,Ruins,Regular,Regular,Regular,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Medicina Veterinária,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Bons/Boas,Bom,Muito bom,Regular,Muito boas
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Boas
Discente do Superior,Passos,2°,Licenciatura Matemática,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Discordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Inconfidentes,8°,Licenciatura em Pedagogia,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Machado,3°,Técnico em Agropecuária | Integrado,Concordo,Concordo,Concordo,Regular,Regular,Bons/Boas,Muito ruim,Bom,Bom,Regulares
Discente do Técnico,Machado,4°,Segurança do Trabalho | Subsequente,Concordo plenamente,Concordo plenamente,Não sei responder,Regular,Regular,Muito Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo,Discordo,Discordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Discordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Regular,Regular,Regulares
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo,Concordo plenamente,Não concordo nem discordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo plenamente,Concordo,Concordo,Regular,Muito boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo plenamente,Concordo,Não concordo nem discordo,Regular,Muito boa,Muito Bons/Boas,Bom,Muito bom,Ruim,Boas
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo plenamente,Concordo,Prefiro não responder,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Muito boas
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Prefiro não responder,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Inconfidentes,6°,Licenciatura em Matemática,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Machado,4°,Bacharelado Administração,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Regular,Muito Bons/Boas,Regular,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Não concordo nem discordo,Concordo,Regular,Não se aplica,Bons/Boas,Não sei,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,8°,Bacharelado Administração,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Ruim,Não sei responder
Discente do Superior,Inconfidentes,6°,Licenciatura em Matemática,Concordo,Concordo,Discordo plenamente,Bom/Boa,Muito boa,Bons/Boas,Não sei,Bom,Bom,Regulares
Discente do Superior,Inconfidentes,6°,Licenciatura em Matemática,Discordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Muito ruim,Regulares
Discente do Superior,Inconfidentes,6°,Licenciatura em Matemática,Concordo,Concordo,Discordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Regular,Bom,Regular,Regulares
Discente do Superior,Passos,4°,Bacharelado Administração,"Não concordo, nem discordo",Concordo plenamente,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Machado,4°,Licenciatura Ciências Biológicas,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Machado,2°,Pós-graduação Informática na Educação,Concordo,Não sei responder,Não sei responder,Bom/Boa,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boas
Discente do Técnico,Machado,4°,Segurança do Trabalho | Subsequente,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Ruins
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletrotécnica | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Regular,Muito ruins,Regular,Não sei,Bom,Regulares
Discente do Técnico,Machado,4°,Segurança do Trabalho | Subsequente,Concordo,Discordo,Discordo,Regular,Regular,Regulares,Não sei,Não sei,Não sei,Regulares
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo plenamente,Não concordo nem discordo,Não sei responder,Muito boa,Bons/Boas,Não sei,Não sei,Bom,Boas
Discente do Técnico,Passos,1°,Técnico em Informática | Integrado,Discordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Regular,Regular,Bom,Regulares
Discente do Superior,Passos,4°,Bacharelado Ciência da Computação,Concordo,Concordo,Discordo plenamente,Regular,Muito ruim,Muito ruins,Muito ruim,Muito ruim,Muito ruim,Muito ruins
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Discordo,Discordo,Discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Prefiro não responder,Bom,Boas
Discente do Superior,Machado,4°,Bacharelado Sistemas de Informação,Concordo,Concordo,Discordo,Muito ruim,Boa,Muito Bons/Boas,Regular,Não sei,Não sei,Não sei responder
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Regulares,Muito bom,Muito bom,Muito bom,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Não sei responder,Bons/Boas,Muito bom,Muito bom,Não sei,Não sei responder
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Bom/Boa,Não sei responder,Bons/Boas,Não sei,Não sei,Não sei,Prefiro não responder
Discente do Técnico,Inconfidentes,2°,Técnico em Informática | Integrado,Concordo plenamente,Discordo,Concordo,Bom/Boa,Ruim,Muito ruins,Ruim,Ruim,Bom,Regulares
Docente,Inconfidentes,,,"Não concordo, nem discordo",Concordo,Discordo,Bom/Boa,Ruim,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Discordo,Não sei responder,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Muzambinho,2°  ,Técnico em Informática | Integrado,Concordo,Discordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Regular,Bons/Boas,Bom,Regular,Regular,Regulares
Discente do Técnico,Inconfidentes,2°,Técnico em Informática | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Muito ruim,Muito ruim,Muito ruim,Ruins
Discente do Superior,Muzambinho,4°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Informática | Integrado,Discordo,Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Regular,Bons/Boas,Não sei,Não sei,Não sei,Regulares
Discente do Técnico,Inconfidentes,2°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Muito boa,Bons/Boas,Não sei,Regular,Não sei,Regulares
Docente,Inconfidentes,,,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Muito bom,Muito bom,Bom,Boas
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Eletroeletrônica | Integrado,Concordo,Concordo,Discordo,Bom/Boa,Boa,Regulares,Bom,Bom,Muito ruim,Regulares
Discente do Superior,Inconfidentes,4°,Engenharia Ambiental,Concordo plenamente,Não concordo nem discordo,Concordo plenamente,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Bom,Boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo,Concordo,Regular,Regular,Bons/Boas,Bom,Regular,Bom,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Concordo,Concordo,Regular,Ruim,Bons/Boas,Regular,Prefiro não responder,Regular,Regulares
Discente do Superior,Machado,2°,Bacharelado Sistemas de Informação,Concordo,Concordo,Concordo,Regular,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Inconfidentes,4°,Licenciatura em Matemática,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Concordo plenamente,Concordo,Bom/Boa,Não se aplica,Não sei responder,Não sei,Bom,Não sei,Boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Meio Ambiente | Integrado,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Regular,Regulares
Discente do Superior,Muzambinho,2°,Licenciatura Pedagogia EaD,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Boas
Discente do Técnico,Inconfidentes,2°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Regular,Muito Bons/Boas,Regular,Bom,Bom,Regulares
Discente do Técnico,Inconfidentes,2°  ,Técnico em Informática | Integrado,Discordo plenamente,Não concordo nem discordo,Discordo,Regular,Boa,Regulares,Regular,Regular,Muito bom,Regulares
Discente do Superior,Inconfidentes,10°,Engenharia de Alimentos,"Não concordo, nem discordo",Discordo plenamente,Não concordo nem discordo,Bom/Boa,Ruim,Ruins,Ruim,Regular,Regular,Regulares
Discente do Técnico,Inconfidentes,2°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Superior,Machado,8°,Bacharelado Zootecnia,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Regulares,Regular,Não sei,Regular,Regulares
TAE,Muzambinho,,,Concordo,Não sei responder,Concordo,Bom/Boa,Não sei responder,Muito Bons/Boas,Não sei,Bom,Bom,Boas
Docente,Inconfidentes,,,Concordo,Discordo,Não sei responder,Regular,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Inconfidentes,2°,Técnico em Informática | Integrado,Não sei responder,Não sei responder,Não sei responder,Regular,Regular,Regulares,Regular,Bom,Bom,Regulares
Discente do Superior,Muzambinho,4°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,Bom/Boa,Regular,Muito Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Machado,8°,Bacharelado Administração,Concordo,Discordo plenamente,Concordo,Bom/Boa,Não sei responder,Muito Bons/Boas,Bom,Bom,Muito ruim,Boas
Discente do Superior,Machado,2°,Bacharelado Administração,Discordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Regular,Bom,Regular,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,Discordo,Discordo plenamente,Discordo plenamente,Ruim,Boa,Bons/Boas,Ruim,Ruim,Muito ruim,Boas
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Ruins,Regular,Bom,Regular,Ruins
Discente do Técnico,Poços de Caldas,4°,Técnico em Eletroeletrônica | Integrado,Discordo plenamente,Concordo plenamente,Não concordo nem discordo,Ruim,Boa,Bons/Boas,Regular,Regular,Muito ruim,Ruins
Discente do Superior,Machado,8°,Bacharelado Administração,Discordo,Discordo plenamente,Discordo plenamente,Muito ruim,Regular,Regulares,Ruim,Ruim,Ruim,Ruins
TAE,Muzambinho,,,Concordo,Não concordo nem discordo,Concordo,Ruim,Ruim,Bons/Boas,Bom,Regular,Bom,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Concordo plenamente,Concordo,Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Boas
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Muito bom,Muito bom,Regular,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Bom,Muito boas
Discente do Superior,Machado,8°,Bacharelado Administração,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Ruim,Regular,Regulares,Ruim,Regular,Ruim,Regulares
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Ruim,Não sei responder,Bons/Boas,Muito ruim,Não sei,Prefiro não responder,Regulares
Discente do Superior,Machado,8°,Bacharelado Administração,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Não sei,Bom,Muito boas
Discente do Superior,Machado,2°,Bacharelado Administração,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Superior,Passos,2°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Três Corações,,,Concordo,Concordo,Concordo,Ruim,Não sei responder,Bons/Boas,Bom,Muito bom,Bom,Regulares
Docente,Machado,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Muito boas
Docente,Inconfidentes,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Não se aplica,Muito Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Discordo plenamente,Discordo plenamente,Discordo plenamente,Muito ruim,Muito ruim,Regulares,Bom,Ruim,Regular,Regulares
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo plenamente,Não sei responder,Regular,Muito boa,Bons/Boas,Bom,Bom,Regular,Boas
Discente do Técnico,Machado,3°  ,Técnico em Agropecuária | Integrado,Discordo,Discordo,Discordo,Ruim,Boa,Ruins,Muito ruim,Regular,Ruim,Ruins
Discente do Superior,Poços de Caldas,4°,Licenciatura Geografia,Concordo,Discordo,Discordo,Bom/Boa,Não sei responder,Regulares,Bom,Não sei,Não sei,Não sei responder
Discente do Técnico,Muzambinho,1°  ,Técnico em Alimentos | Integrado,Discordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Ruim,Regulares,Bom,Bom,Bom,Boas
Discente do Técnico,Muzambinho,3°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Discordo,Ruim,Boa,Bons/Boas,Muito bom,Regular,Bom,Regulares
Discente do Técnico,Machado,4°,Enfermagem | Subsequente,Concordo plenamente,Concordo,Concordo,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Ruim,Boas
Docente,Machado,,,Discordo,Discordo,Discordo,Ruim,Regular,Regulares,Bom,Bom,Prefiro não responder,Boas
Discente do Superior,Muzambinho,4°,Licenciatura Pedagogia EaD,Concordo,Concordo plenamente,Concordo plenamente,Prefiro não responder,Boa,Não sei responder,Bom,Não sei,Não sei,Boas
Discente do Técnico,Machado,4°,Enfermagem | Subsequente,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Concordo,Discordo,Bom/Boa,Regular,Bons/Boas,Muito bom,Bom,Bom,Regulares
Discente do Superior,Inconfidentes,2°,Engenharia Agronômica,Discordo,Não concordo nem discordo,Discordo,Muito Bom/Boa,Ruim,Regulares,Regular,Ruim,Regular,Regulares
